2026-01-18 08:15:30 | alice | 192.168.1.10 | SUCCESS
2026-01-18 08:45:12 | bob | 192.168.1.15 | SUCCESS
2026-01-18 09:30:00 | charlie | 10.0.0.5 | SUCCESS
2026-01-18 10:00:15 | alice | 192.168.1.10 | SUCCESS
2026-01-18 10:15:20 | david | 172.16.0.100 | FAILED
2026-01-18 10:16:05 | david | 172.16.0.100 | FAILED
2026-01-18 10:17:30 | david | 172.16.0.100 | FAILED
2026-01-18 10:18:45 | david | 172.16.0.100 | FAILED
2026-01-18 10:19:20 | david | 172.16.0.100 | FAILED
2026-01-18 10:20:10 | david | 172.16.0.100 | SUCCESS
2026-01-18 11:00:00 | eve | 192.168.1.50 | SUCCESS
2026-01-18 12:30:15 | alice | 192.168.1.10 | SUCCESS
2026-01-18 14:00:00 | frank | 10.0.0.25 | SUCCESS
2026-01-18 14:05:30 | frank | 172.16.0.200 | SUCCESS
2026-01-18 14:08:45 | frank | 192.168.2.100 | SUCCESS
2026-01-18 15:30:00 | bob | 192.168.1.15 | SUCCESS
2026-01-18 16:45:20 | charlie | 10.0.0.5 | SUCCESS
2026-01-18 17:30:00 | alice | 192.168.1.10 | SUCCESS
2026-01-18 19:15:30 | eve | 192.168.1.50 | SUCCESS
2026-01-18 20:00:00 | admin | 10.0.0.1 | SUCCESS
2026-01-18 22:30:45 | root | 172.16.0.1 | SUCCESS
2026-01-18 23:15:00 | admin | 10.0.0.1 | FAILED
2026-01-18 23:16:30 | admin | 10.0.0.1 | FAILED
2026-01-18 23:17:15 | admin | 10.0.0.1 | FAILED
2026-01-18 23:18:00 | admin | 10.0.0.1 | FAILED
2026-01-18 23:19:20 | admin | 10.0.0.1 | FAILED
2026-01-18 23:20:05 | admin | 10.0.0.1 | FAILED
2026-01-19 02:30:00 | alice | 192.168.1.10 | SUCCESS
2026-01-19 03:15:45 | hacker | 203.0.113.50 | FAILED
2026-01-19 03:16:10 | hacker | 203.0.113.50 | FAILED
2026-01-19 03:16:35 | hacker | 203.0.113.50 | FAILED
2026-01-19 03:17:00 | hacker | 203.0.113.50 | FAILED
2026-01-19 03:17:25 | hacker | 203.0.113.50 | FAILED
2026-01-19 03:17:50 | hacker | 203.0.113.50 | FAILED
2026-01-19 03:18:15 | hacker | 203.0.113.50 | FAILED
2026-01-19 08:00:00 | alice | 192.168.1.10 | SUCCESS
2026-01-19 09:30:00 | bob | 192.168.1.15 | SUCCESS
2026-01-19 10:15:00 | charlie | 10.0.0.5 | SUCCESS
2026-01-19 11:00:00 | david | 172.16.0.100 | SUCCESS
2026-01-19 12:30:00 | eve | 192.168.1.50 | SUCCESS
